"season","week","manager_1","owner_id_1","score_1","result_1","manager_2","owner_id_2","score_2","result_2"
"2023","12","etmoyer","559135658332524544","165.58","W","Mummanator","560265743531290624","117.08","L"
"2023","12","LukeColbeck","626798676303499264","147.34","W","Pnewport","694581224353632256","128.48","L"
"2023","13","Danthecan","517079980760150016","89.7","L","etmoyer","559135658332524544","180.14","W"
"2023","13","ekortman","559134002064789504","174.66","W","Pnewport","694581224353632256","149.56","L"
"2023","13","PhillyBooBird","559133018459394048","164.12","W","Mummanator","560265743531290624","140.74","L"
"2023","13","ComradeCMP","559210519766609920","97.48","W","LukeColbeck","626798676303499264","90.0","L"
"2023","13","jackpotFTW","559132295743279104","127.88","W","THESMASH","559193893851738112","121.7","L"
"2023","14","Danthecan","517079980760150016","135.7","L","jackpotFTW","559132295743279104","151.32","W"
"2023","14","ekortman","559134002064789504","68.04","L","ComradeCMP","559210519766609920","130.54","W"
"2023","14","PhillyBooBird","559133018459394048","151.88","W","Pnewport","694581224353632256","130.82","L"
"2023","14","etmoyer","559135658332524544","92.74","W","THESMASH","559193893851738112","87.74","L"
"2023","14","LukeColbeck","626798676303499264","113.12","L","Mummanator","560265743531290624","130.44","W"
"2022","1","Danthecan","517079980760150016","159.55","W","THESMASH","559193893851738112","112.7","L"
"2022","1","ekortman","559134002064789504","129.87","L","etmoyer","559135658332524544","132.61","W"
"2022","1","PhillyBooBird","559133018459394048","142.67","L","jackpotFTW","559132295743279104","158.33","W"
"2022","1","ComradeCMP","559210519766609920","138.51","W","Mummanator","560265743531290624","134.22","L"
"2022","1","LukeColbeck","626798676303499264","188.72","W","Pnewport","694581224353632256","111.41","L"
"2022","2","Danthecan","517079980760150016","124.76","L","jackpotFTW","559132295743279104","131.93","W"
"2022","2","ekortman","559134002064789504","148.06","W","Mummanator","560265743531290624","137.37","L"
"2022","2","PhillyBooBird","559133018459394048","115.37","L","LukeColbeck","626798676303499264","143.28","W"
